Close,High,Low,Open,Volume,SMA_9,SMA_20,BB_Width,RSI,ATR,ROC,Vol_Shock,Target
11.92398166656494,11.92398166656494,11.764166306168788,11.861830778227096,37767300,12.03249846564399,11.701168155670166,0.14829848370683657,60.669697858920195,0.2573014504552197,-2.184995452375599,1.0209300210161183,1
11.98613166809082,12.181461458285074,11.81743833569406,11.826316308229083,41452600,12.027565744188097,11.758668327331543,0.13157606465725774,70.65705325567424,0.2569164225237777,-0.2954240215269086,1.1592807820081958,1
12.083796501159668,12.11931093255416,11.83519548139822,11.897345524655874,31317800,12.020660082499186,11.825449514389039,0.10520355891061636,69.69519965375105,0.26150401986152855,0.07352226874130728,0.939486743816786,1
12.13706874847412,12.154825541064696,11.941738949592716,12.074918704310836,35788800,12.027565638224283,11.870266771316528,0.09633928062515262,65.04178786271015,0.2522225555999579,2.1674122388583723,1.1039075906756008,1
12.296883583068848,12.554363414966344,12.083796154091312,12.11043261192026,44926800,12.03940380944146,11.919996309280396,0.08987539341589221,61.90744275315255,0.2663585659156688,2.8974719041720975,1.3764245461580835,0
12.172582626342772,12.341275958563855,12.039403724417223,12.190339418125136,59559600,12.056174490186903,11.952516317367554,0.08574523274264877,54.666687671815474,0.2701636532472217,2.0848821033909637,1.7461713557956509,0
11.702016830444336,12.074918791580831,11.533322642595,11.799681307225477,50069000,12.014740943908691,11.960628509521484,0.08186022719610965,40.79599677014081,0.2923601716424938,-2.3703630621950182,1.4213568309951117,1
11.755288124084473,11.96837471834278,11.675380439554893,11.684259259331704,39798300,12.000929726494682,11.982838535308838,0.06626733661093039,38.659778973711624,0.29553105813969804,-2.7185858107066663,1.1184601013064621,1
12.13706874847412,12.323519727694816,11.675380286887313,11.71089471879931,51912400,12.021646499633789,12.016661357879638,0.0527402097393287,51.52837731540868,0.32660626160991935,0.0,1.4313655287914924,0
12.074918746948242,12.19921883571372,12.00388988287344,12.137068791330982,21741000,12.038417286343044,12.034183311462403,0.04755057642336281,47.08521907338154,0.3297771476581725,-1.8050495039753094,0.6108915206031532,0
11.968375205993652,12.19034062907274,11.932860772170232,12.19034062907274,35635500,12.036444346110025,12.032744932174683,0.04773432296120328,48.61112147111379,0.328508746057573,-1.6776014311637746,1.010015408648031,1
12.145947456359863,12.199218680372198,12.012767702867349,12.119310997622856,23490300,12.043350007798937,12.037628221511842,0.048446005348933445,51.7391257646722,0.32597194682418823,3.7936249139599885,0.6914647871859583,0
12.12819004058838,12.305762201784892,12.092675608349076,12.145947680073457,22758200,12.042363484700521,12.042511415481567,0.04888429044417073,56.666661551783854,0.317093318077967,3.1722056709090696,0.6784557174252894,1
12.332398414611816,12.501091752695306,12.04828211564317,12.06603975477345,60471500,12.046309577094185,12.051833963394165,0.052925248031916054,59.55556043553151,0.3392898830176021,1.6093644205669846,1.7382464670018034,1
12.430063247680664,12.51884975242787,12.24361226509622,12.341276742933456,56058800,12.074918535020617,12.069591188430786,0.059835468816756665,62.23177409993613,0.34563174039462147,2.941175076827572,1.5292259307820866,1
12.447820663452148,12.607635183699696,12.199218793323343,12.296884116134962,28032800,12.15778562757704,12.082465219497681,0.06553353763850193,61.403532740554574,0.3488026880935742,4.005936054030076,0.7656215369703233,1
12.474456787109377,12.69642220735427,12.412305893663804,12.572121267194012,35704200,12.237693256802029,12.10510573387146,0.07128440602024151,60.00002929431468,0.34880274970318315,2.7046826271053837,0.9561014928290781,1
