Price,Close,High,Low,Open,Volume
Ticker,BBAS3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA
Date,,,,,
2025-02-27,26.455543518066406,26.74886451557371,26.37038784669877,26.521778514248744,31089200
2025-02-28,25.840517044067383,26.512314667254543,25.736437094768327,26.446081480049966,28266200
2025-03-05,26.275766372680664,26.436619171182826,25.78374583553064,25.84051688067288,18081300
2025-03-06,26.2379150390625,26.446078523829478,26.001366937077332,26.41769210189249,17819500
2025-03-07,26.550161361694336,26.729938444162233,26.0202940606889,26.143298293081255,16830600
2025-03-10,26.465002059936523,26.49338848300997,26.15275862500409,26.45553991891204,14457100
2025-03-11,26.22845458984375,26.55962231492317,26.029755037627446,26.49338913085107,20095600
2025-03-12,26.19980812072754,26.345095045189233,26.102952634286392,26.2482377113481,15085100
2025-03-13,26.6259765625,26.75189163785671,25.8995494039645,26.199805445553896,18344200
2025-03-14,27.003719329833984,27.20711990418224,26.66472145158669,26.66472145158669,22864700
2025-03-17,27.565488815307617,27.662346140873524,26.96497672211867,26.99403447400839,19847000
2025-03-18,27.60423469543457,27.74951977172002,27.46863553722148,27.565491023145132,16806400
2025-03-19,27.497690200805664,27.836689928411417,27.497690200805664,27.613919365019022,18962900
2025-03-20,27.362091064453125,27.584861627973584,27.22649191229283,27.4686343110933,14013900
2025-03-21,27.47831916809082,27.584860563218683,27.18774719230618,27.458947333558545,66960300
2025-03-24,27.46863555908203,27.5461210563226,27.207121313120112,27.5461210563226,13497500
2025-03-25,27.575176239013672,27.846376395933696,27.458948919905037,27.468634837730747,15292700
2025-03-26,27.904489517211914,27.962605023045114,27.47832022550114,27.604233460006622,11927300
2025-03-27,27.78826141357422,27.943232396608593,27.5848608437167,27.91417464451471,14399300
2025-03-28,27.73983383178711,28.06914765638793,27.63329242787506,27.788263422110745,12444500
2025-03-31,27.303977966308594,27.613919947549427,27.07152148037797,27.60423402971066,17667600
2025-04-01,27.439577102661133,27.68171950626647,27.129635121630287,27.28460611214571,14219000
2025-04-02,27.458946228027344,27.652659023351497,27.236175682074677,27.507373965008444,9089100
2025-04-03,27.61391830444336,27.788261120367423,27.333032246032413,27.371775915082125,14824700
2025-04-04,27.100574493408203,27.43957419197587,26.906861699512202,27.313660968313457,15612700
2025-04-07,26.810007095336914,27.381463312921326,26.500065115779247,27.003719908860493,22342100
2025-04-08,26.76157569885254,27.32334596070721,26.53880514701702,27.149004994531456,21884600
2025-04-09,26.877805709838867,27.2168054306141,26.238549938045498,26.635663316056533,28796100
2025-04-10,26.693777084350586,26.84874806922404,26.286977787207803,26.839062151744468,18618400
2025-04-11,26.92623519897461,27.023092532260126,26.558179549369623,26.858435619894742,14793700
2025-04-14,27.187747955322266,27.32334710605409,26.994035146762503,27.090890627342446,13391400
2025-04-15,26.897178649902344,27.236178384606823,26.829379072441434,27.14900697147139,25468600
2025-04-16,26.780946731567383,27.013403193577474,26.519432519031128,26.906861803114353,21762700
2025-04-17,26.5678653717041,26.90686511328187,26.44195028466666,26.81000778034537,17336900
2025-04-22,26.906864166259766,27.042463319158298,26.490378942471526,26.538806683535316,14220700
2025-04-23,27.15869140625,27.333032375600677,26.98434858949949,27.110261819708285,13812200
2025-04-24,26.829378128051758,27.17806192091996,26.190122352493546,27.158691933327184,37053800
2025-04-25,27.1296329498291,27.23617619005435,26.65503409844356,26.829376910666777,17884400
2025-04-28,27.458946228027344,27.517059881884613,26.974661468617334,27.12963244383656,14161300
2025-04-29,27.60423469543457,27.817319350826565,27.342720449680776,27.47832145529384,15861200
2025-04-30,28.02071762084961,28.02071762084961,27.468633268130734,27.517061007092106,15925000
2025-05-02,27.991661071777344,28.136946142303888,27.82700416587395,27.991661071777344,12319300
2025-05-05,28.204748153686523,28.5243760544634,28.09820490429425,28.243489977847386,19470000
2025-05-06,27.991661071777344,28.282233060230336,27.89480374229301,28.20474756612285,20080000
2025-05-07,28.388774871826172,28.427518543141904,27.933547818265918,28.049775137413253,31415700
2025-05-08,28.485631942749023,29.09583182860344,28.485631942749023,28.57280335501394,29500900
2025-05-09,28.60186195373535,29.057089016598066,28.534060527547318,28.55343236360104,19842500
2025-05-12,28.15631866455078,28.74714672615847,27.96260584825642,28.592175734163,20623700
2025-05-13,28.72777557373047,28.776203317106148,28.156319334377503,28.19506300699804,20288300
2025-05-14,28.824630737304688,28.97960172131709,28.60186017871184,28.6890315881438,19723000
2025-05-15,28.47594451904297,28.969915213286956,28.253173964991703,28.82463014966221,40596400
2025-05-16,24.863182067871094,25.182809966628458,24.23361218818537,24.746952901322995,152180700
2025-05-19,24.25298309326172,24.892238866248345,24.223925340889654,24.843809278961565,60409800
2025-05-20,24.698524475097656,24.863181378827637,24.301411092113568,24.301411092113568,28138800
2025-05-21,24.466066360473633,24.85349380000058,24.378894955655102,24.776008312095193,34009800
2025-05-22,24.26266860961914,24.62104018730444,24.26266860961914,24.40795553274019,61464900
2025-05-23,23.652469635009766,24.30141133896089,23.652469635009766,24.28203950364297,35980700
2025-05-26,23.89461326599121,23.96241284569893,23.72995635210104,23.739642270259285,11584100
2025-05-27,23.79775619506836,24.41764018485345,23.778384358537572,24.136755944757088,30416900
2025-05-28,23.323156356811523,23.875240744180328,23.313470438931375,23.82681300217953,31863700
2025-05-29,22.95509910583496,23.313468805288696,22.896983602626403,23.274726983882797,43563400
2025-05-30,22.683900833129883,23.081014234069137,22.61610125454025,23.00352873748099,53293100
2025-06-02,22.548301696777344,22.858243683416216,22.432072528087787,22.780758186756497,36268800
2025-06-03,22.671329498291016,22.769986662930556,22.474017050740837,22.66146359365417,20832400
2025-06-04,22.049789428710938,22.819311063816016,22.049789428710938,22.750251622894137,38469100
2025-06-05,21.941268920898438,22.227374502749903,21.941268920898438,22.099119627530676,40306500
2025-06-06,21.41838836669922,22.049793107019013,21.408524343546567,22.049793107019013,56659900
2025-06-09,21.43811798095703,21.70449174029372,21.181610125491563,21.41838617321459,47713300
2025-06-10,21.250673294067383,21.61570236029036,21.013895344097605,21.58610464611191,43092300
2025-06-11,21.112550735473633,21.53677519440455,21.112550735473633,21.211207892715738,32228100
2025-06-12,21.13228416442871,21.211209519931394,20.7573891962232,21.102686450466866,28710900
2025-06-13,21.299999237060547,21.3591927789672,20.954700126102345,21.092819017794117,33033700
2025-06-16,21.68476104736328,21.872209467095672,21.408523251682766,21.48744860498132,35118400
2025-06-17,21.6058349609375,21.773551566222093,21.418386547565593,21.724223927732595,33345300
2025-06-18,21.517044067382812,21.694626579691338,21.41838690701932,21.63543303616477,29776400
2025-06-20,21.06322479248047,21.51704511788862,21.06322479248047,21.507179213197716,32952400
2025-06-23,20.80671501159668,21.082954672475466,20.737655566809167,21.063222864899394,31206000
2025-06-24,21.152015686035156,21.378925844802907,20.786984745719696,20.944835454578037,19703100
2025-06-25,20.97443199157715,21.08295505347799,20.816581291573442,21.07308914951166,20659800
2025-06-26,21.309865951538086,21.309865951538086,20.94483501881716,21.004030444704124,34081400
2025-06-27,21.43811798095703,21.477581596441915,21.122416583992997,21.280267282475013,28128900
2025-06-30,21.793283462524414,21.951134164404298,21.260535932383206,21.447984346513866,28763500
2025-07-01,21.615699768066406,22.207640808545545,21.605833864523404,21.911669347441627,32448000
2025-07-02,21.69462776184082,21.77355311808653,21.290135075865454,21.615702405595112,22781500
2025-07-03,22.00046157836914,22.20764179855074,21.645298443631624,21.734089697748196,27335900
2025-07-04,22.12871742248535,22.237240489344558,21.872209552827407,21.97086671526952,15002500
2025-07-07,21.763687133789062,22.178045722996693,21.69462768254261,22.13858398588254,18607600
2025-07-08,21.704492568969727,21.961000434228648,21.704492568969727,21.7636861127283,19468700
2025-07-09,21.161882400512695,21.75382164052313,21.102686971128488,21.71435990266261,30185400
2025-07-10,20.92510414123535,21.240807448159636,20.875776499196924,20.915240118210807,27565700
2025-07-11,20.856042861938477,20.91523828527162,20.540341464410094,20.895506477493903,26044900
2025-07-14,20.402225494384766,20.846179942571172,20.343031944305718,20.836315918998853,28395000
2025-07-15,20.6192684173584,20.777119128398684,20.43181999234972,20.471283610974247,30999200
2025-07-16,20.59953498840332,20.708058049359206,19.899072748452166,20.708058049359206,55147900
2025-07-17,20.461416244506836,20.6192669442699,20.303565544743773,20.560073402290943,28673400
2025-07-18,19.987863540649414,20.540340973109476,19.928670000460873,20.323296737932345,42591900
2025-07-21,19.593238830566406,20.13585041551972,19.593238830566406,20.08652277387993,42352600
2025-07-22,19.622833251953125,19.908938821733507,19.60310332575316,19.721490409868043,24707100
2025-07-23,19.938535690307617,20.145715920891877,19.603104346693492,19.682029700790146,35932600
2025-07-24,19.800416946411133,19.95826765584283,19.632700332423845,19.91880591934935,44775000
2025-07-25,19.96813201904297,20.195042161119552,19.859608959037324,19.918804381801532,38899700
