Price,Close,High,Low,Open,Volume
Ticker,ITSA4.SA,ITSA4.SA,ITSA4.SA,ITSA4.SA,ITSA4.SA
Date,,,,,
2025-02-27,7.999722003936768,8.052935285905507,7.964246195051753,7.981984530853041,29274408
2025-02-28,7.795736789703369,7.99085153958874,7.786868055079131,7.964244472998649,47522106
2025-03-05,7.873364448547363,7.962530035644774,7.828782088679202,7.962530035644774,34672248
2025-03-06,7.909030437469482,7.953613660378908,7.82878133012132,7.8822801567794265,27951264
2025-03-07,7.989280700683594,8.024947457643497,7.846614540205109,7.891197769564706,27155562
2025-03-10,7.989280700683594,7.989280700683595,7.891197769564706,7.9357809989243036,32938554
2025-03-11,7.909030437469482,8.007112487037015,7.82878133012132,8.007112487037015,31428852
2025-03-12,7.882280349731445,7.944697383749162,7.828781521763729,7.935780045060185,30124374
2025-03-13,8.007112503051758,8.033862783795316,7.87336370141698,7.891196643672015,31205880
2025-03-14,8.256778717041016,8.292445471873734,8.024946979031043,8.060613733863761,36443070
2025-03-17,8.479694366455078,8.497527310996926,8.256779090237513,8.274612034779361,30226476
2025-03-18,8.542108535766602,8.577775287465712,8.444026486475796,8.497526180343963,42204540
2025-03-19,8.60452651977539,8.684775635773015,8.524277403777768,8.559943292060668,51246228
2025-03-20,8.53319263458252,8.658024972825,8.524277030263551,8.604526142744843,35489778
2025-03-21,8.524276733398438,8.577775561615452,8.506442923298405,8.551026147506944,50851080
2025-03-24,8.542108535766602,8.613442039164823,8.461859428644852,8.533192064682074,39745422
2025-03-25,8.658024787902832,8.782857990840125,8.55994273415637,8.568859205645955,35766300
2025-03-26,8.595610618591309,8.720442970594528,8.57777680590431,8.693692685244608,45219048
2025-03-27,8.666942596435547,8.684775540381123,8.586693481319365,8.631276708544393,51780096
2025-03-28,8.577776908874512,8.666943371296423,8.515361599484804,8.649109558395342,41708922
2025-03-31,8.426193237304688,8.551026442872738,8.408361161310763,8.551026442872738,39964620
2025-04-01,8.417277336120605,8.497527321379204,8.337028218223125,8.43511114804536,18488418
2025-04-02,8.426193237304688,8.488610273769241,8.3548605965237,8.417276765627197,20426010
